DATE,ATNHPIUS26005A
1977-01-01,30.49
1978-01-01,35.45
1979-01-01,37.42
1980-01-01,42.83
1981-01-01,39.49
1982-01-01,40.40
1983-01-01,39.01
1984-01-01,45.77
1985-01-01,45.55
1986-01-01,47.22
1987-01-01,49.41
1988-01-01,52.38
1989-01-01,56.17
1990-01-01,58.74
1991-01-01,60.31
1992-01-01,61.34
1993-01-01,62.82
1994-01-01,67.12
1995-01-01,73.68
1996-01-01,77.90
1997-01-01,83.44
1998-01-01,86.85
1999-01-01,91.64
2000-01-01,100.00
2001-01-01,103.49
2002-01-01,106.60
2003-01-01,108.02
2004-01-01,113.48
2005-01-01,117.32
2006-01-01,119.85
2007-01-01,115.72
2008-01-01,113.54
2009-01-01,106.57
2010-01-01,99.28
2011-01-01,95.80
2012-01-01,95.12
2013-01-01,98.17
2014-01-01,103.55
2015-01-01,109.51
2016-01-01,117.11
2017-01-01,127.50
2018-01-01,135.50
