DATE,ATNHPIUS26017A
1978-01-01,39.78
1979-01-01,48.75
1980-01-01,47.60
1981-01-01,53.21
1982-01-01,44.06
1983-01-01,47.75
1984-01-01,44.18
1985-01-01,45.27
1986-01-01,46.15
1987-01-01,46.87
1988-01-01,49.92
1989-01-01,52.82
1990-01-01,56.42
1991-01-01,58.84
1992-01-01,61.71
1993-01-01,63.35
1994-01-01,68.73
1995-01-01,74.43
1996-01-01,79.83
1997-01-01,85.61
1998-01-01,88.94
1999-01-01,94.08
2000-01-01,100.00
2001-01-01,104.85
2002-01-01,107.68
2003-01-01,109.84
2004-01-01,113.12
2005-01-01,115.34
2006-01-01,114.32
2007-01-01,111.65
2008-01-01,104.91
2009-01-01,98.08
2010-01-01,92.36
2011-01-01,90.83
2012-01-01,89.62
2013-01-01,88.76
2014-01-01,89.99
2015-01-01,93.22
2016-01-01,93.97
2017-01-01,96.39
2018-01-01,101.71
