DATE,ATNHPIUS26021A
1975-01-01,26.36
1976-01-01,27.03
1977-01-01,30.17
1978-01-01,33.18
1979-01-01,36.73
1980-01-01,40.18
1981-01-01,44.80
1982-01-01,32.66
1983-01-01,46.97
1984-01-01,44.28
1985-01-01,44.31
1986-01-01,46.79
1987-01-01,50.40
1988-01-01,56.25
1989-01-01,60.28
1990-01-01,63.60
1991-01-01,65.35
1992-01-01,66.90
1993-01-01,69.09
1994-01-01,72.99
1995-01-01,79.30
1996-01-01,82.41
1997-01-01,86.88
1998-01-01,91.06
1999-01-01,94.12
2000-01-01,100.00
2001-01-01,105.29
2002-01-01,109.26
2003-01-01,111.71
2004-01-01,117.25
2005-01-01,124.14
2006-01-01,129.20
2007-01-01,131.84
2008-01-01,129.65
2009-01-01,124.49
2010-01-01,117.77
2011-01-01,113.86
2012-01-01,111.25
2013-01-01,111.10
2014-01-01,114.49
2015-01-01,119.04
2016-01-01,123.71
2017-01-01,129.83
2018-01-01,134.19
