DATE,ATNHPIUS26025A
1977-01-01,37.84
1978-01-01,41.32
1979-01-01,44.28
1980-01-01,42.85
1981-01-01,43.57
1982-01-01,45.22
1983-01-01,44.22
1984-01-01,46.62
1985-01-01,47.32
1986-01-01,47.66
1987-01-01,50.22
1988-01-01,53.02
1989-01-01,58.72
1990-01-01,60.94
1991-01-01,62.45
1992-01-01,64.59
1993-01-01,65.73
1994-01-01,70.03
1995-01-01,75.99
1996-01-01,81.27
1997-01-01,86.44
1998-01-01,91.71
1999-01-01,95.13
2000-01-01,100.00
2001-01-01,104.75
2002-01-01,107.47
2003-01-01,110.02
2004-01-01,114.91
2005-01-01,118.95
2006-01-01,120.59
2007-01-01,115.54
2008-01-01,110.39
2009-01-01,103.76
2010-01-01,98.12
2011-01-01,94.57
2012-01-01,93.10
2013-01-01,92.80
2014-01-01,95.16
2015-01-01,98.92
2016-01-01,102.55
2017-01-01,107.99
2018-01-01,113.39
