DATE,ATNHPIUS26045A
1975-01-01,31.22
1976-01-01,32.91
1977-01-01,36.08
1978-01-01,38.68
1979-01-01,44.37
1980-01-01,45.95
1981-01-01,51.02
1982-01-01,53.09
1983-01-01,50.03
1984-01-01,50.18
1985-01-01,52.54
1986-01-01,54.38
1987-01-01,57.06
1988-01-01,60.61
1989-01-01,63.65
1990-01-01,65.63
1991-01-01,68.18
1992-01-01,69.24
1993-01-01,70.33
1994-01-01,72.57
1995-01-01,76.74
1996-01-01,81.09
1997-01-01,86.44
1998-01-01,89.26
1999-01-01,92.85
2000-01-01,100.00
2001-01-01,105.00
2002-01-01,109.24
2003-01-01,112.67
2004-01-01,117.20
2005-01-01,123.10
2006-01-01,121.64
2007-01-01,118.34
2008-01-01,112.52
2009-01-01,99.73
2010-01-01,93.15
2011-01-01,89.44
2012-01-01,86.11
2013-01-01,88.87
2014-01-01,93.43
2015-01-01,97.26
2016-01-01,102.49
2017-01-01,110.06
2018-01-01,118.56
