DATE,ATNHPIUS26049A
1975-01-01,28.43
1976-01-01,30.04
1977-01-01,32.79
1978-01-01,36.91
1979-01-01,43.79
1980-01-01,45.78
1981-01-01,47.63
1982-01-01,42.81
1983-01-01,46.19
1984-01-01,45.68
1985-01-01,47.64
1986-01-01,49.93
1987-01-01,51.60
1988-01-01,53.94
1989-01-01,56.49
1990-01-01,60.00
1991-01-01,62.49
1992-01-01,64.19
1993-01-01,65.36
1994-01-01,68.85
1995-01-01,75.21
1996-01-01,80.54
1997-01-01,86.38
1998-01-01,89.68
1999-01-01,93.78
2000-01-01,100.00
2001-01-01,104.57
2002-01-01,107.40
2003-01-01,108.87
2004-01-01,111.45
2005-01-01,115.46
2006-01-01,113.00
2007-01-01,106.64
2008-01-01,96.57
2009-01-01,83.46
2010-01-01,75.59
2011-01-01,71.67
2012-01-01,70.69
2013-01-01,74.81
2014-01-01,81.83
2015-01-01,86.48
2016-01-01,91.37
2017-01-01,97.75
2018-01-01,104.86
