DATE,ATNHPIUS26065A
1975-01-01,31.10
1976-01-01,32.35
1977-01-01,33.40
1978-01-01,37.34
1979-01-01,43.33
1980-01-01,46.99
1981-01-01,54.83
1982-01-01,49.20
1983-01-01,48.79
1984-01-01,50.14
1985-01-01,51.59
1986-01-01,53.66
1987-01-01,57.21
1988-01-01,60.63
1989-01-01,64.64
1990-01-01,66.40
1991-01-01,68.40
1992-01-01,70.09
1993-01-01,70.64
1994-01-01,72.36
1995-01-01,77.10
1996-01-01,80.81
1997-01-01,85.52
1998-01-01,88.93
1999-01-01,92.79
2000-01-01,100.00
2001-01-01,105.42
2002-01-01,110.12
2003-01-01,113.81
2004-01-01,119.02
2005-01-01,124.86
2006-01-01,124.48
2007-01-01,119.03
2008-01-01,111.00
2009-01-01,99.53
2010-01-01,92.45
2011-01-01,88.07
2012-01-01,85.98
2013-01-01,87.28
2014-01-01,92.84
2015-01-01,97.30
2016-01-01,101.60
2017-01-01,108.32
2018-01-01,116.35
