DATE,ATNHPIUS26075A
1976-01-01,29.60
1977-01-01,32.03
1978-01-01,36.25
1979-01-01,40.92
1980-01-01,42.91
1981-01-01,40.36
1982-01-01,42.37
1983-01-01,40.25
1984-01-01,39.78
1985-01-01,40.20
1986-01-01,41.74
1987-01-01,44.44
1988-01-01,49.20
1989-01-01,53.75
1990-01-01,57.90
1991-01-01,59.77
1992-01-01,62.28
1993-01-01,63.48
1994-01-01,66.78
1995-01-01,72.27
1996-01-01,77.30
1997-01-01,83.38
1998-01-01,87.79
1999-01-01,92.37
2000-01-01,100.00
2001-01-01,104.50
2002-01-01,107.81
2003-01-01,109.73
2004-01-01,114.53
2005-01-01,117.88
2006-01-01,117.20
2007-01-01,111.59
2008-01-01,105.85
2009-01-01,95.91
2010-01-01,87.36
2011-01-01,82.15
2012-01-01,80.26
2013-01-01,82.65
2014-01-01,88.10
2015-01-01,92.98
2016-01-01,96.60
2017-01-01,103.62
2018-01-01,109.51
