DATE,ATNHPIUS26077A
1975-01-01,29.19
1976-01-01,29.80
1977-01-01,33.37
1978-01-01,38.54
1979-01-01,44.66
1980-01-01,48.67
1981-01-01,51.01
1982-01-01,48.78
1983-01-01,50.39
1984-01-01,51.02
1985-01-01,51.53
1986-01-01,53.21
1987-01-01,55.29
1988-01-01,59.44
1989-01-01,62.76
1990-01-01,65.03
1991-01-01,67.20
1992-01-01,68.69
1993-01-01,70.10
1994-01-01,73.75
1995-01-01,80.10
1996-01-01,84.16
1997-01-01,89.56
1998-01-01,92.47
1999-01-01,94.91
2000-01-01,100.00
2001-01-01,104.90
2002-01-01,108.54
2003-01-01,110.74
2004-01-01,114.40
2005-01-01,118.69
2006-01-01,118.81
2007-01-01,116.93
2008-01-01,112.18
2009-01-01,108.64
2010-01-01,103.49
2011-01-01,101.11
2012-01-01,100.43
2013-01-01,102.69
2014-01-01,106.61
2015-01-01,110.98
2016-01-01,115.76
2017-01-01,122.57
2018-01-01,131.33
