DATE,ATNHPIUS26081A
1975-01-01,32.33
1976-01-01,25.89
1977-01-01,28.82
1978-01-01,33.14
1979-01-01,38.26
1980-01-01,41.12
1981-01-01,43.99
1982-01-01,46.19
1983-01-01,46.00
1984-01-01,46.51
1985-01-01,48.87
1986-01-01,51.26
1987-01-01,54.64
1988-01-01,59.67
1989-01-01,64.11
1990-01-01,66.66
1991-01-01,68.40
1992-01-01,69.36
1993-01-01,69.80
1994-01-01,72.27
1995-01-01,77.11
1996-01-01,81.28
1997-01-01,86.33
1998-01-01,89.59
1999-01-01,94.09
2000-01-01,100.00
2001-01-01,104.65
2002-01-01,107.91
2003-01-01,109.82
2004-01-01,113.31
2005-01-01,117.31
2006-01-01,116.11
2007-01-01,113.13
2008-01-01,107.57
2009-01-01,99.85
2010-01-01,95.49
2011-01-01,92.63
2012-01-01,92.22
2013-01-01,96.32
2014-01-01,104.46
2015-01-01,110.85
2016-01-01,120.41
2017-01-01,131.73
2018-01-01,142.99
