DATE,ATNHPIUS26093A
1975-01-01,24.44
1976-01-01,24.80
1977-01-01,27.43
1978-01-01,32.87
1979-01-01,37.04
1980-01-01,40.21
1981-01-01,39.38
1982-01-01,35.41
1983-01-01,36.66
1984-01-01,38.73
1985-01-01,39.52
1986-01-01,41.99
1987-01-01,46.51
1988-01-01,52.63
1989-01-01,57.67
1990-01-01,59.88
1991-01-01,62.17
1992-01-01,64.12
1993-01-01,65.42
1994-01-01,68.08
1995-01-01,73.49
1996-01-01,78.11
1997-01-01,83.91
1998-01-01,87.82
1999-01-01,92.51
2000-01-01,100.00
2001-01-01,105.27
2002-01-01,108.94
2003-01-01,110.75
2004-01-01,114.13
2005-01-01,118.38
2006-01-01,116.52
2007-01-01,108.65
2008-01-01,97.95
2009-01-01,87.26
2010-01-01,80.06
2011-01-01,77.75
2012-01-01,79.30
2013-01-01,86.23
2014-01-01,95.04
2015-01-01,99.46
2016-01-01,105.29
2017-01-01,112.94
2018-01-01,120.62
