DATE,ATNHPIUS26099A
1975-01-01,25.44
1976-01-01,26.85
1977-01-01,28.94
1978-01-01,33.30
1979-01-01,39.11
1980-01-01,41.25
1981-01-01,41.75
1982-01-01,36.05
1983-01-01,39.87
1984-01-01,40.69
1985-01-01,42.31
1986-01-01,45.90
1987-01-01,50.92
1988-01-01,55.42
1989-01-01,58.17
1990-01-01,60.45
1991-01-01,62.08
1992-01-01,63.08
1993-01-01,64.27
1994-01-01,67.01
1995-01-01,72.26
1996-01-01,77.08
1997-01-01,83.81
1998-01-01,88.23
1999-01-01,92.86
2000-01-01,100.00
2001-01-01,104.59
2002-01-01,107.55
2003-01-01,108.86
2004-01-01,112.07
2005-01-01,115.06
2006-01-01,112.92
2007-01-01,105.55
2008-01-01,92.57
2009-01-01,80.58
2010-01-01,73.67
2011-01-01,71.12
2012-01-01,72.01
2013-01-01,78.92
2014-01-01,87.17
2015-01-01,91.26
2016-01-01,96.13
2017-01-01,103.54
2018-01-01,110.56
