DATE,ATNHPIUS26115A
1976-01-01,30.26
1977-01-01,32.56
1978-01-01,36.24
1979-01-01,38.87
1980-01-01,40.93
1981-01-01,43.06
1982-01-01,37.96
1983-01-01,39.69
1984-01-01,40.79
1985-01-01,40.84
1986-01-01,42.81
1987-01-01,45.67
1988-01-01,49.91
1989-01-01,54.50
1990-01-01,58.24
1991-01-01,60.46
1992-01-01,62.12
1993-01-01,63.65
1994-01-01,67.18
1995-01-01,73.34
1996-01-01,77.89
1997-01-01,84.02
1998-01-01,88.05
1999-01-01,92.35
2000-01-01,100.00
2001-01-01,104.93
2002-01-01,107.39
2003-01-01,109.20
2004-01-01,114.01
2005-01-01,117.60
2006-01-01,116.06
2007-01-01,109.64
2008-01-01,100.30
2009-01-01,90.67
2010-01-01,85.89
2011-01-01,81.42
2012-01-01,81.31
2013-01-01,83.19
2014-01-01,88.15
2015-01-01,93.98
2016-01-01,97.32
2017-01-01,102.55
2018-01-01,109.31
