DATE,ATNHPIUS26121A
1975-01-01,20.19
1976-01-01,22.44
1977-01-01,24.21
1978-01-01,31.75
1979-01-01,39.59
1980-01-01,42.27
1981-01-01,45.73
1982-01-01,46.33
1983-01-01,44.50
1984-01-01,46.08
1985-01-01,47.90
1986-01-01,49.97
1987-01-01,51.58
1988-01-01,55.64
1989-01-01,59.76
1990-01-01,62.39
1991-01-01,64.05
1992-01-01,65.03
1993-01-01,65.96
1994-01-01,68.94
1995-01-01,73.68
1996-01-01,78.79
1997-01-01,83.51
1998-01-01,87.31
1999-01-01,93.09
2000-01-01,100.00
2001-01-01,104.44
2002-01-01,107.09
2003-01-01,109.28
2004-01-01,112.19
2005-01-01,115.45
2006-01-01,114.28
2007-01-01,112.51
2008-01-01,107.06
2009-01-01,100.65
2010-01-01,93.06
2011-01-01,88.56
2012-01-01,87.29
2013-01-01,89.81
2014-01-01,95.20
2015-01-01,99.83
2016-01-01,106.87
2017-01-01,115.55
2018-01-01,126.64
