DATE,ATNHPIUS26125A
1975-01-01,22.45
1976-01-01,23.33
1977-01-01,25.80
1978-01-01,30.09
1979-01-01,36.12
1980-01-01,37.92
1981-01-01,39.07
1982-01-01,35.64
1983-01-01,36.38
1984-01-01,37.39
1985-01-01,39.39
1986-01-01,42.91
1987-01-01,47.37
1988-01-01,51.74
1989-01-01,55.08
1990-01-01,57.65
1991-01-01,59.72
1992-01-01,61.32
1993-01-01,62.75
1994-01-01,65.27
1995-01-01,70.82
1996-01-01,75.86
1997-01-01,82.18
1998-01-01,86.68
1999-01-01,91.87
2000-01-01,100.00
2001-01-01,105.16
2002-01-01,108.70
2003-01-01,110.72
2004-01-01,113.90
2005-01-01,117.64
2006-01-01,114.71
2007-01-01,106.88
2008-01-01,95.43
2009-01-01,82.30
2010-01-01,75.79
2011-01-01,74.88
2012-01-01,76.86
2013-01-01,85.54
2014-01-01,95.46
2015-01-01,99.61
2016-01-01,104.93
2017-01-01,113.21
2018-01-01,120.59
