DATE,ATNHPIUS26139A
1975-01-01,32.77
1976-01-01,24.85
1977-01-01,30.27
1978-01-01,32.24
1979-01-01,37.06
1980-01-01,42.17
1981-01-01,43.38
1982-01-01,42.36
1983-01-01,44.22
1984-01-01,45.64
1985-01-01,47.42
1986-01-01,49.59
1987-01-01,52.60
1988-01-01,57.19
1989-01-01,61.18
1990-01-01,63.74
1991-01-01,65.43
1992-01-01,66.26
1993-01-01,67.30
1994-01-01,71.43
1995-01-01,77.01
1996-01-01,80.77
1997-01-01,86.19
1998-01-01,89.06
1999-01-01,93.48
2000-01-01,100.00
2001-01-01,104.46
2002-01-01,107.51
2003-01-01,109.66
2004-01-01,113.74
2005-01-01,118.56
2006-01-01,117.07
2007-01-01,116.02
2008-01-01,111.39
2009-01-01,105.48
2010-01-01,100.18
2011-01-01,97.18
2012-01-01,97.38
2013-01-01,101.54
2014-01-01,108.88
2015-01-01,115.25
2016-01-01,123.75
2017-01-01,134.67
2018-01-01,145.13
