DATE,ATNHPIUS26145A
1977-01-01,35.17
1978-01-01,42.65
1979-01-01,52.30
1980-01-01,54.13
1981-01-01,53.17
1982-01-01,47.78
1983-01-01,50.24
1984-01-01,51.36
1985-01-01,51.48
1986-01-01,52.88
1987-01-01,54.15
1988-01-01,57.45
1989-01-01,61.78
1990-01-01,64.79
1991-01-01,67.13
1992-01-01,69.39
1993-01-01,70.58
1994-01-01,73.85
1995-01-01,78.77
1996-01-01,82.95
1997-01-01,87.37
1998-01-01,91.78
1999-01-01,95.40
2000-01-01,100.00
2001-01-01,104.92
2002-01-01,107.21
2003-01-01,109.11
2004-01-01,111.83
2005-01-01,114.80
2006-01-01,113.00
2007-01-01,108.28
2008-01-01,102.95
2009-01-01,95.91
2010-01-01,90.39
2011-01-01,86.68
2012-01-01,85.16
2013-01-01,86.35
2014-01-01,87.24
2015-01-01,90.28
2016-01-01,93.19
2017-01-01,94.99
2018-01-01,100.39
