DATE,ATNHPIUS26147A
1977-01-01,27.02
1978-01-01,32.19
1979-01-01,35.08
1980-01-01,37.29
1981-01-01,37.29
1982-01-01,32.52
1983-01-01,35.86
1984-01-01,37.91
1985-01-01,39.41
1986-01-01,41.54
1987-01-01,44.96
1988-01-01,48.72
1989-01-01,53.78
1990-01-01,56.98
1991-01-01,59.78
1992-01-01,61.95
1993-01-01,63.31
1994-01-01,66.15
1995-01-01,72.45
1996-01-01,76.75
1997-01-01,83.31
1998-01-01,88.02
1999-01-01,93.09
2000-01-01,100.00
2001-01-01,104.97
2002-01-01,107.26
2003-01-01,108.65
2004-01-01,112.06
2005-01-01,115.68
2006-01-01,114.91
2007-01-01,109.83
2008-01-01,99.73
2009-01-01,90.17
2010-01-01,78.87
2011-01-01,74.82
2012-01-01,74.56
2013-01-01,78.61
2014-01-01,84.07
2015-01-01,89.41
2016-01-01,93.56
2017-01-01,100.95
2018-01-01,109.62
