DATE,ATNHPIUS26161A
1975-01-01,22.13
1976-01-01,23.19
1977-01-01,27.38
1978-01-01,33.38
1979-01-01,38.25
1980-01-01,39.91
1981-01-01,41.90
1982-01-01,37.70
1983-01-01,39.10
1984-01-01,39.12
1985-01-01,40.13
1986-01-01,42.77
1987-01-01,47.04
1988-01-01,53.26
1989-01-01,58.43
1990-01-01,61.04
1991-01-01,62.70
1992-01-01,63.81
1993-01-01,64.33
1994-01-01,66.66
1995-01-01,71.04
1996-01-01,75.19
1997-01-01,80.70
1998-01-01,84.83
1999-01-01,90.89
2000-01-01,100.00
2001-01-01,105.48
2002-01-01,110.29
2003-01-01,113.06
2004-01-01,117.54
2005-01-01,122.49
2006-01-01,119.73
2007-01-01,111.92
2008-01-01,103.54
2009-01-01,95.69
2010-01-01,91.69
2011-01-01,90.29
2012-01-01,90.33
2013-01-01,96.80
2014-01-01,105.65
2015-01-01,110.49
2016-01-01,116.18
2017-01-01,125.39
2018-01-01,135.44
