DATE,ATNHPIUS26163A
1975-01-01,23.33
1976-01-01,24.37
1977-01-01,26.26
1978-01-01,31.02
1979-01-01,37.63
1980-01-01,39.84
1981-01-01,41.96
1982-01-01,37.11
1983-01-01,36.54
1984-01-01,36.19
1985-01-01,37.61
1986-01-01,40.70
1987-01-01,45.10
1988-01-01,49.42
1989-01-01,53.24
1990-01-01,56.37
1991-01-01,58.46
1992-01-01,59.93
1993-01-01,61.17
1994-01-01,63.39
1995-01-01,68.40
1996-01-01,73.42
1997-01-01,80.22
1998-01-01,85.30
1999-01-01,91.85
2000-01-01,100.00
2001-01-01,105.86
2002-01-01,109.64
2003-01-01,111.59
2004-01-01,114.04
2005-01-01,116.07
2006-01-01,113.21
2007-01-01,104.41
2008-01-01,90.51
2009-01-01,77.82
2010-01-01,71.31
2011-01-01,69.17
2012-01-01,69.45
2013-01-01,75.32
2014-01-01,82.70
2015-01-01,87.00
2016-01-01,91.86
2017-01-01,98.92
2018-01-01,106.38
