DATE,PCPI26005
1969-01-01,3466
1970-01-01,3507
1971-01-01,3723
1972-01-01,4160
1973-01-01,4692
1974-01-01,5077
1975-01-01,5416
1976-01-01,5792
1977-01-01,6483
1978-01-01,7331
1979-01-01,8128
1980-01-01,8611
1981-01-01,9259
1982-01-01,9682
1983-01-01,10333
1984-01-01,11443
1985-01-01,11982
1986-01-01,13265
1987-01-01,13953
1988-01-01,14540
1989-01-01,15720
1990-01-01,16336
1991-01-01,16794
1992-01-01,17784
1993-01-01,18667
1994-01-01,20058
1995-01-01,21065
1996-01-01,22225
1997-01-01,23463
1998-01-01,24665
1999-01-01,26299
2000-01-01,27694
2001-01-01,27296
2002-01-01,26508
2003-01-01,26878
2004-01-01,28156
2005-01-01,29520
2006-01-01,30664
2007-01-01,31750
2008-01-01,32720
2009-01-01,31966
2010-01-01,33043
2011-01-01,35821
2012-01-01,36244
2013-01-01,37363
2014-01-01,38552
2015-01-01,40291
2016-01-01,41434
2017-01-01,42787
2018-01-01,45182
