DATE,PCPI26017
1969-01-01,3560
1970-01-01,3582
1971-01-01,3920
1972-01-01,4196
1973-01-01,4688
1974-01-01,5159
1975-01-01,5505
1976-01-01,6264
1977-01-01,7100
1978-01-01,7780
1979-01-01,8571
1980-01-01,9442
1981-01-01,10138
1982-01-01,10639
1983-01-01,11326
1984-01-01,12202
1985-01-01,13036
1986-01-01,13694
1987-01-01,14233
1988-01-01,15229
1989-01-01,16063
1990-01-01,17100
1991-01-01,17670
1992-01-01,18692
1993-01-01,19425
1994-01-01,20578
1995-01-01,21384
1996-01-01,22313
1997-01-01,23405
1998-01-01,24111
1999-01-01,25213
2000-01-01,26570
2001-01-01,27174
2002-01-01,27069
2003-01-01,27757
2004-01-01,28367
2005-01-01,28733
2006-01-01,29845
2007-01-01,30909
2008-01-01,32188
2009-01-01,31984
2010-01-01,33352
2011-01-01,34581
2012-01-01,35192
2013-01-01,35121
2014-01-01,36517
2015-01-01,38421
2016-01-01,39443
2017-01-01,40192
2018-01-01,41722
