DATE,PCPI26025
1969-01-01,3926
1970-01-01,4076
1971-01-01,4472
1972-01-01,4876
1973-01-01,5349
1974-01-01,5639
1975-01-01,6281
1976-01-01,6887
1977-01-01,7433
1978-01-01,8113
1979-01-01,8874
1980-01-01,9456
1981-01-01,10235
1982-01-01,10843
1983-01-01,11291
1984-01-01,12076
1985-01-01,13067
1986-01-01,13776
1987-01-01,14681
1988-01-01,15365
1989-01-01,16345
1990-01-01,17056
1991-01-01,17821
1992-01-01,18871
1993-01-01,19435
1994-01-01,20592
1995-01-01,21379
1996-01-01,22245
1997-01-01,23718
1998-01-01,24354
1999-01-01,24763
2000-01-01,25253
2001-01-01,25839
2002-01-01,26660
2003-01-01,27174
2004-01-01,27772
2005-01-01,28488
2006-01-01,29038
2007-01-01,30082
2008-01-01,31387
2009-01-01,31003
2010-01-01,31903
2011-01-01,32916
2012-01-01,33887
2013-01-01,34370
2014-01-01,35286
2015-01-01,37171
2016-01-01,37994
2017-01-01,38608
2018-01-01,40276
