DATE,PCPI26045
1969-01-01,3958
1970-01-01,3772
1971-01-01,4297
1972-01-01,4757
1973-01-01,5221
1974-01-01,5382
1975-01-01,5754
1976-01-01,6650
1977-01-01,7560
1978-01-01,8064
1979-01-01,8864
1980-01-01,9773
1981-01-01,10856
1982-01-01,11347
1983-01-01,12536
1984-01-01,13544
1985-01-01,14621
1986-01-01,15396
1987-01-01,15612
1988-01-01,16250
1989-01-01,17547
1990-01-01,18410
1991-01-01,19187
1992-01-01,20230
1993-01-01,20763
1994-01-01,22149
1995-01-01,23114
1996-01-01,24033
1997-01-01,25070
1998-01-01,25602
1999-01-01,26765
2000-01-01,27900
2001-01-01,29548
2002-01-01,29684
2003-01-01,29465
2004-01-01,29971
2005-01-01,29673
2006-01-01,30788
2007-01-01,31827
2008-01-01,32912
2009-01-01,32102
2010-01-01,33053
2011-01-01,34011
2012-01-01,34478
2013-01-01,35396
2014-01-01,36492
2015-01-01,38646
2016-01-01,39751
2017-01-01,40948
2018-01-01,42693
