DATE,PCPI26049
1969-01-01,4073
1970-01-01,3970
1971-01-01,4574
1972-01-01,4975
1973-01-01,5428
1974-01-01,5497
1975-01-01,6032
1976-01-01,7205
1977-01-01,8269
1978-01-01,8990
1979-01-01,9785
1980-01-01,10341
1981-01-01,11434
1982-01-01,11530
1983-01-01,12696
1984-01-01,14200
1985-01-01,15390
1986-01-01,16078
1987-01-01,15371
1988-01-01,16031
1989-01-01,16843
1990-01-01,17540
1991-01-01,18389
1992-01-01,18987
1993-01-01,19828
1994-01-01,21872
1995-01-01,22977
1996-01-01,23916
1997-01-01,24314
1998-01-01,25065
1999-01-01,25765
2000-01-01,26887
2001-01-01,26689
2002-01-01,26804
2003-01-01,27536
2004-01-01,27983
2005-01-01,28391
2006-01-01,29320
2007-01-01,29787
2008-01-01,30302
2009-01-01,29538
2010-01-01,30420
2011-01-01,32085
2012-01-01,33167
2013-01-01,33917
2014-01-01,35261
2015-01-01,37179
2016-01-01,38398
2017-01-01,39380
2018-01-01,41068
