DATE,PCPI26065
1969-01-01,3903
1970-01-01,4052
1971-01-01,4563
1972-01-01,4970
1973-01-01,5433
1974-01-01,5666
1975-01-01,6436
1976-01-01,7121
1977-01-01,7870
1978-01-01,8583
1979-01-01,9462
1980-01-01,10053
1981-01-01,10905
1982-01-01,11555
1983-01-01,12546
1984-01-01,13536
1985-01-01,14452
1986-01-01,15140
1987-01-01,15569
1988-01-01,16474
1989-01-01,17738
1990-01-01,18412
1991-01-01,19069
1992-01-01,19904
1993-01-01,20367
1994-01-01,21615
1995-01-01,22418
1996-01-01,23227
1997-01-01,24210
1998-01-01,24996
1999-01-01,26472
2000-01-01,27694
2001-01-01,28117
2002-01-01,28119
2003-01-01,28847
2004-01-01,29345
2005-01-01,29726
2006-01-01,30378
2007-01-01,30952
2008-01-01,32329
2009-01-01,31629
2010-01-01,33247
2011-01-01,33830
2012-01-01,34429
2013-01-01,34112
2014-01-01,35503
2015-01-01,36989
2016-01-01,37918
2017-01-01,38893
2018-01-01,40761
