DATE,PCPI26075
1969-01-01,3951
1970-01-01,4082
1971-01-01,4250
1972-01-01,4755
1973-01-01,5313
1974-01-01,5641
1975-01-01,6135
1976-01-01,6609
1977-01-01,7260
1978-01-01,8117
1979-01-01,8881
1980-01-01,9478
1981-01-01,10233
1982-01-01,10586
1983-01-01,11160
1984-01-01,12138
1985-01-01,12749
1986-01-01,13376
1987-01-01,14130
1988-01-01,14805
1989-01-01,15996
1990-01-01,16364
1991-01-01,16605
1992-01-01,17514
1993-01-01,18379
1994-01-01,19547
1995-01-01,20583
1996-01-01,21366
1997-01-01,22332
1998-01-01,23098
1999-01-01,24500
2000-01-01,25543
2001-01-01,25895
2002-01-01,25936
2003-01-01,26174
2004-01-01,27000
2005-01-01,27462
2006-01-01,27914
2007-01-01,28696
2008-01-01,29827
2009-01-01,29392
2010-01-01,30351
2011-01-01,31504
2012-01-01,32261
2013-01-01,32886
2014-01-01,34054
2015-01-01,35789
2016-01-01,37336
2017-01-01,38031
2018-01-01,39832
