DATE,PCPI26077
1969-01-01,3987
1970-01-01,4091
1971-01-01,4302
1972-01-01,4649
1973-01-01,5229
1974-01-01,5738
1975-01-01,6326
1976-01-01,6869
1977-01-01,7631
1978-01-01,8411
1979-01-01,9276
1980-01-01,10032
1981-01-01,11075
1982-01-01,11600
1983-01-01,12512
1984-01-01,13599
1985-01-01,14421
1986-01-01,15356
1987-01-01,16228
1988-01-01,17362
1989-01-01,18964
1990-01-01,19424
1991-01-01,20286
1992-01-01,21148
1993-01-01,22046
1994-01-01,23128
1995-01-01,24205
1996-01-01,25192
1997-01-01,25982
1998-01-01,27335
1999-01-01,27815
2000-01-01,28748
2001-01-01,30381
2002-01-01,30695
2003-01-01,31136
2004-01-01,31842
2005-01-01,32377
2006-01-01,34020
2007-01-01,34906
2008-01-01,36803
2009-01-01,35760
2010-01-01,36409
2011-01-01,38601
2012-01-01,39662
2013-01-01,40394
2014-01-01,41547
2015-01-01,44184
2016-01-01,45350
2017-01-01,46675
2018-01-01,48723
