DATE,PCPI26081
1969-01-01,3837
1970-01-01,4050
1971-01-01,4359
1972-01-01,4799
1973-01-01,5266
1974-01-01,5707
1975-01-01,6146
1976-01-01,6779
1977-01-01,7519
1978-01-01,8481
1979-01-01,9301
1980-01-01,9988
1981-01-01,10909
1982-01-01,11476
1983-01-01,12307
1984-01-01,13542
1985-01-01,14543
1986-01-01,15433
1987-01-01,16240
1988-01-01,17212
1989-01-01,18189
1990-01-01,19378
1991-01-01,19863
1992-01-01,21132
1993-01-01,21814
1994-01-01,23370
1995-01-01,24542
1996-01-01,25625
1997-01-01,26977
1998-01-01,28752
1999-01-01,29792
2000-01-01,31888
2001-01-01,31838
2002-01-01,31453
2003-01-01,32393
2004-01-01,34689
2005-01-01,35534
2006-01-01,37542
2007-01-01,38857
2008-01-01,40985
2009-01-01,36804
2010-01-01,38970
2011-01-01,42417
2012-01-01,45591
2013-01-01,45045
2014-01-01,46979
2015-01-01,49732
2016-01-01,50702
2017-01-01,51268
2018-01-01,53935
