DATE,PCPI26093
1969-01-01,4357
1970-01-01,4161
1971-01-01,4387
1972-01-01,4875
1973-01-01,5347
1974-01-01,5601
1975-01-01,5978
1976-01-01,6924
1977-01-01,7868
1978-01-01,8886
1979-01-01,9840
1980-01-01,10427
1981-01-01,11139
1982-01-01,11784
1983-01-01,12875
1984-01-01,14715
1985-01-01,16357
1986-01-01,17542
1987-01-01,18065
1988-01-01,19428
1989-01-01,20583
1990-01-01,21010
1991-01-01,21130
1992-01-01,22771
1993-01-01,24181
1994-01-01,26535
1995-01-01,27695
1996-01-01,28814
1997-01-01,30406
1998-01-01,32687
1999-01-01,33997
2000-01-01,36054
2001-01-01,36854
2002-01-01,36093
2003-01-01,35921
2004-01-01,36030
2005-01-01,37335
2006-01-01,38272
2007-01-01,39837
2008-01-01,40653
2009-01-01,38426
2010-01-01,39724
2011-01-01,42880
2012-01-01,45322
2013-01-01,45843
2014-01-01,47921
2015-01-01,50988
2016-01-01,53924
2017-01-01,55861
2018-01-01,58326
