DATE,PCPI26099
1969-01-01,4361
1970-01-01,4381
1971-01-01,4705
1972-01-01,5268
1973-01-01,5893
1974-01-01,6206
1975-01-01,6540
1976-01-01,7489
1977-01-01,8553
1978-01-01,9604
1979-01-01,10419
1980-01-01,10915
1981-01-01,11723
1982-01-01,12089
1983-01-01,12988
1984-01-01,14564
1985-01-01,16360
1986-01-01,17321
1987-01-01,17742
1988-01-01,19159
1989-01-01,20366
1990-01-01,21260
1991-01-01,21346
1992-01-01,21617
1993-01-01,22341
1994-01-01,23980
1995-01-01,25107
1996-01-01,26032
1997-01-01,27952
1998-01-01,29353
1999-01-01,31066
2000-01-01,33164
2001-01-01,32623
2002-01-01,32418
2003-01-01,33239
2004-01-01,33575
2005-01-01,34620
2006-01-01,35017
2007-01-01,35921
2008-01-01,36037
2009-01-01,33778
2010-01-01,34430
2011-01-01,36531
2012-01-01,37898
2013-01-01,38272
2014-01-01,40077
2015-01-01,42562
2016-01-01,43416
2017-01-01,44645
2018-01-01,46530
