DATE,PCPI26115
1969-01-01,3751
1970-01-01,3740
1971-01-01,4033
1972-01-01,4541
1973-01-01,5126
1974-01-01,5451
1975-01-01,5803
1976-01-01,6520
1977-01-01,7265
1978-01-01,7983
1979-01-01,8733
1980-01-01,9454
1981-01-01,10228
1982-01-01,10901
1983-01-01,11831
1984-01-01,12680
1985-01-01,13481
1986-01-01,14643
1987-01-01,15106
1988-01-01,16321
1989-01-01,17189
1990-01-01,17565
1991-01-01,17819
1992-01-01,19186
1993-01-01,20366
1994-01-01,22511
1995-01-01,23373
1996-01-01,24200
1997-01-01,25317
1998-01-01,26780
1999-01-01,28535
2000-01-01,29749
2001-01-01,30375
2002-01-01,30292
2003-01-01,31056
2004-01-01,32096
2005-01-01,32767
2006-01-01,33525
2007-01-01,34533
2008-01-01,35047
2009-01-01,33180
2010-01-01,34204
2011-01-01,36139
2012-01-01,37510
2013-01-01,38221
2014-01-01,39996
2015-01-01,42255
2016-01-01,43757
2017-01-01,45498
2018-01-01,47496
