DATE,PCPI26121
1969-01-01,3556
1970-01-01,3686
1971-01-01,3799
1972-01-01,4226
1973-01-01,4631
1974-01-01,5151
1975-01-01,5634
1976-01-01,6095
1977-01-01,6678
1978-01-01,7502
1979-01-01,8194
1980-01-01,8839
1981-01-01,9494
1982-01-01,10090
1983-01-01,10613
1984-01-01,11683
1985-01-01,12313
1986-01-01,12739
1987-01-01,13275
1988-01-01,13739
1989-01-01,14608
1990-01-01,15255
1991-01-01,15537
1992-01-01,16286
1993-01-01,16874
1994-01-01,17952
1995-01-01,18741
1996-01-01,19588
1997-01-01,20729
1998-01-01,21808
1999-01-01,22984
2000-01-01,24019
2001-01-01,24315
2002-01-01,24404
2003-01-01,24886
2004-01-01,25340
2005-01-01,26020
2006-01-01,27062
2007-01-01,27900
2008-01-01,28347
2009-01-01,27655
2010-01-01,28880
2011-01-01,30550
2012-01-01,31740
2013-01-01,31735
2014-01-01,33447
2015-01-01,35176
2016-01-01,36235
2017-01-01,37207
2018-01-01,39072
