DATE,PCPI26125
1969-01-01,5514
1970-01-01,5471
1971-01-01,5977
1972-01-01,6661
1973-01-01,7384
1974-01-01,7783
1975-01-01,8248
1976-01-01,9351
1977-01-01,10632
1978-01-01,11857
1979-01-01,12999
1980-01-01,13844
1981-01-01,14979
1982-01-01,15523
1983-01-01,16647
1984-01-01,18716
1985-01-01,20718
1986-01-01,22020
1987-01-01,22744
1988-01-01,24502
1989-01-01,26828
1990-01-01,27670
1991-01-01,27474
1992-01-01,29509
1993-01-01,31165
1994-01-01,33534
1995-01-01,35749
1996-01-01,37587
1997-01-01,39207
1998-01-01,42982
1999-01-01,44702
2000-01-01,48458
2001-01-01,49562
2002-01-01,48964
2003-01-01,49191
2004-01-01,50044
2005-01-01,50850
2006-01-01,51421
2007-01-01,53029
2008-01-01,53123
2009-01-01,48577
2010-01-01,49799
2011-01-01,54065
2012-01-01,57793
2013-01-01,57723
2014-01-01,61004
2015-01-01,64851
2016-01-01,66667
2017-01-01,69410
2018-01-01,72741
