DATE,PCPI26139
1969-01-01,3812
1970-01-01,3808
1971-01-01,4088
1972-01-01,4600
1973-01-01,5016
1974-01-01,5412
1975-01-01,5741
1976-01-01,6420
1977-01-01,7278
1978-01-01,8200
1979-01-01,8971
1980-01-01,9403
1981-01-01,10163
1982-01-01,10832
1983-01-01,11774
1984-01-01,13316
1985-01-01,14086
1986-01-01,14525
1987-01-01,15579
1988-01-01,16736
1989-01-01,18301
1990-01-01,19034
1991-01-01,19291
1992-01-01,20675
1993-01-01,21539
1994-01-01,23135
1995-01-01,24056
1996-01-01,25257
1997-01-01,26183
1998-01-01,27468
1999-01-01,28129
2000-01-01,28910
2001-01-01,29997
2002-01-01,29814
2003-01-01,29956
2004-01-01,30885
2005-01-01,31911
2006-01-01,33291
2007-01-01,33502
2008-01-01,34357
2009-01-01,32745
2010-01-01,34629
2011-01-01,36808
2012-01-01,38841
2013-01-01,39189
2014-01-01,41397
2015-01-01,43688
2016-01-01,45095
2017-01-01,47043
2018-01-01,49418
