DATE,PCPI26145
1969-01-01,3688
1970-01-01,3781
1971-01-01,4335
1972-01-01,4790
1973-01-01,5336
1974-01-01,5614
1975-01-01,6084
1976-01-01,6942
1977-01-01,7744
1978-01-01,8585
1979-01-01,9292
1980-01-01,9807
1981-01-01,10599
1982-01-01,10753
1983-01-01,11616
1984-01-01,12729
1985-01-01,13669
1986-01-01,14046
1987-01-01,14398
1988-01-01,15117
1989-01-01,16121
1990-01-01,16609
1991-01-01,17053
1992-01-01,17885
1993-01-01,18815
1994-01-01,19931
1995-01-01,20808
1996-01-01,21767
1997-01-01,22916
1998-01-01,23506
1999-01-01,24702
2000-01-01,25906
2001-01-01,25812
2002-01-01,25402
2003-01-01,25938
2004-01-01,26854
2005-01-01,27064
2006-01-01,27786
2007-01-01,28758
2008-01-01,29453
2009-01-01,29235
2010-01-01,30518
2011-01-01,31822
2012-01-01,32359
2013-01-01,32855
2014-01-01,34086
2015-01-01,35828
2016-01-01,36722
2017-01-01,37286
2018-01-01,38754
