DATE,PCPI26147
1969-01-01,3869
1970-01-01,3903
1971-01-01,4089
1972-01-01,4478
1973-01-01,4981
1974-01-01,5311
1975-01-01,5757
1976-01-01,6424
1977-01-01,7196
1978-01-01,8001
1979-01-01,8683
1980-01-01,9383
1981-01-01,10277
1982-01-01,10912
1983-01-01,11711
1984-01-01,12635
1985-01-01,13790
1986-01-01,14432
1987-01-01,15039
1988-01-01,15918
1989-01-01,17232
1990-01-01,17732
1991-01-01,18198
1992-01-01,18633
1993-01-01,19595
1994-01-01,21060
1995-01-01,21974
1996-01-01,23017
1997-01-01,24468
1998-01-01,25781
1999-01-01,26842
2000-01-01,28281
2001-01-01,28569
2002-01-01,28817
2003-01-01,29443
2004-01-01,30013
2005-01-01,31122
2006-01-01,31287
2007-01-01,32365
2008-01-01,32885
2009-01-01,31296
2010-01-01,32380
2011-01-01,34324
2012-01-01,35924
2013-01-01,36254
2014-01-01,37646
2015-01-01,39602
2016-01-01,40937
2017-01-01,42381
2018-01-01,44316
