DATE,PCPI26163
1969-01-01,4252
1970-01-01,4437
1971-01-01,4723
1972-01-01,5218
1973-01-01,5864
1974-01-01,6272
1975-01-01,6607
1976-01-01,7333
1977-01-01,8188
1978-01-01,9059
1979-01-01,9802
1980-01-01,10435
1981-01-01,11019
1982-01-01,11532
1983-01-01,12303
1984-01-01,13524
1985-01-01,14522
1986-01-01,15347
1987-01-01,15697
1988-01-01,16768
1989-01-01,17717
1990-01-01,18433
1991-01-01,18379
1992-01-01,19108
1993-01-01,19896
1994-01-01,21057
1995-01-01,21974
1996-01-01,22871
1997-01-01,23822
1998-01-01,24935
1999-01-01,26106
2000-01-01,27968
2001-01-01,27940
2002-01-01,27530
2003-01-01,28454
2004-01-01,29268
2005-01-01,30022
2006-01-01,30666
2007-01-01,31775
2008-01-01,32262
2009-01-01,31351
2010-01-01,32489
2011-01-01,34351
2012-01-01,34984
2013-01-01,35133
2014-01-01,36914
2015-01-01,39288
2016-01-01,40549
2017-01-01,41115
2018-01-01,42942
