DATE,MIBAYC7POP
1970-01-01,117.339
1971-01-01,118.500
1972-01-01,119.100
1973-01-01,119.800
1974-01-01,120.500
1975-01-01,120.400
1976-01-01,120.600
1977-01-01,121.500
1978-01-01,122.100
1979-01-01,121.100
1980-01-01,119.881
1981-01-01,120.401
1982-01-01,118.804
1983-01-01,117.330
1984-01-01,116.677
1985-01-01,115.017
1986-01-01,114.267
1987-01-01,113.959
1988-01-01,112.898
1989-01-01,112.061
1990-01-01,111.804
1991-01-01,111.803
1992-01-01,112.182
1993-01-01,112.397
1994-01-01,112.025
1995-01-01,111.680
1996-01-01,111.231
1997-01-01,111.040
1998-01-01,110.704
1999-01-01,110.295
2000-01-01,110.205
2001-01-01,109.762
2002-01-01,109.708
2003-01-01,109.308
2004-01-01,109.078
2005-01-01,108.673
2006-01-01,108.117
2007-01-01,107.523
2008-01-01,107.676
2009-01-01,107.228
2010-01-01,107.681
2011-01-01,107.409
2012-01-01,106.966
2013-01-01,106.801
2014-01-01,106.066
2015-01-01,105.281
2016-01-01,104.469
2017-01-01,104.189
2018-01-01,103.923
