DATE,MICALH5POP
1970-01-01,141.963
1971-01-01,140.600
1972-01-01,142.000
1973-01-01,142.300
1974-01-01,143.000
1975-01-01,142.600
1976-01-01,142.400
1977-01-01,142.800
1978-01-01,143.500
1979-01-01,142.300
1980-01-01,141.579
1981-01-01,141.880
1982-01-01,139.886
1983-01-01,137.629
1984-01-01,135.682
1985-01-01,134.523
1986-01-01,134.316
1987-01-01,134.849
1988-01-01,134.459
1989-01-01,135.457
1990-01-01,136.226
1991-01-01,136.814
1992-01-01,137.298
1993-01-01,137.775
1994-01-01,137.910
1995-01-01,137.393
1996-01-01,136.630
1997-01-01,136.834
1998-01-01,137.783
1999-01-01,138.021
2000-01-01,138.033
2001-01-01,138.059
2002-01-01,138.369
2003-01-01,138.620
2004-01-01,138.940
2005-01-01,138.289
2006-01-01,137.496
2007-01-01,136.770
2008-01-01,136.463
2009-01-01,135.405
2010-01-01,135.952
2011-01-01,135.096
2012-01-01,134.733
2013-01-01,134.755
2014-01-01,134.812
2015-01-01,134.339
2016-01-01,134.37
2017-01-01,134.358
2018-01-01,134.487
