DATE,MIEATO5POP
1970-01-01,68.892
1971-01-01,70.800
1972-01-01,72.300
1973-01-01,75.300
1974-01-01,76.600
1975-01-01,79.900
1976-01-01,80.100
1977-01-01,82.500
1978-01-01,85.300
1979-01-01,88.000
1980-01-01,88.337
1981-01-01,88.973
1982-01-01,88.391
1983-01-01,87.686
1984-01-01,87.868
1985-01-01,88.247
1986-01-01,88.692
1987-01-01,90.306
1988-01-01,91.307
1989-01-01,92.216
1990-01-01,93.183
1991-01-01,94.736
1992-01-01,95.693
1993-01-01,96.534
1994-01-01,97.920
1995-01-01,99.350
1996-01-01,100.660
1997-01-01,101.474
1998-01-01,102.280
1999-01-01,102.991
2000-01-01,103.993
2001-01-01,104.696
2002-01-01,105.498
2003-01-01,106.631
2004-01-01,106.883
2005-01-01,107.237
2006-01-01,107.360
2007-01-01,107.265
2008-01-01,106.842
2009-01-01,106.154
2010-01-01,107.754
2011-01-01,107.921
2012-01-01,108.002
2013-01-01,108.274
2014-01-01,108.65
2015-01-01,108.657
2016-01-01,109.165
2017-01-01,109.477
2018-01-01,109.826
