DATE,MIGENE9POP
1970-01-01,445.589
1971-01-01,448.300
1972-01-01,448.700
1973-01-01,451.800
1974-01-01,450.200
1975-01-01,446.800
1976-01-01,444.900
1977-01-01,446.500
1978-01-01,449.600
1979-01-01,451.100
1980-01-01,450.449
1981-01-01,442.878
1982-01-01,437.115
1983-01-01,432.600
1984-01-01,430.254
1985-01-01,431.268
1986-01-01,433.037
1987-01-01,433.335
1988-01-01,430.096
1989-01-01,428.946
1990-01-01,430.938
1991-01-01,431.184
1992-01-01,430.944
1993-01-01,430.702
1994-01-01,430.742
1995-01-01,432.261
1996-01-01,433.302
1997-01-01,432.978
1998-01-01,433.160
1999-01-01,434.409
2000-01-01,436.940
2001-01-01,437.899
2002-01-01,438.788
2003-01-01,439.746
2004-01-01,439.820
2005-01-01,439.050
2006-01-01,437.043
2007-01-01,433.679
2008-01-01,428.323
2009-01-01,422.874
2010-01-01,424.951
2011-01-01,421.976
2012-01-01,418.167
2013-01-01,415.634
2014-01-01,412.868
2015-01-01,410.47
2016-01-01,408.901
2017-01-01,407.673
2018-01-01,406.892
