DATE,MIKENT1POP
1970-01-01,411.044
1971-01-01,411.700
1972-01-01,413.700
1973-01-01,418.000
1974-01-01,420.500
1975-01-01,421.200
1976-01-01,423.900
1977-01-01,427.700
1978-01-01,431.800
1979-01-01,438.200
1980-01-01,444.506
1981-01-01,446.930
1982-01-01,449.249
1983-01-01,451.734
1984-01-01,457.944
1985-01-01,465.007
1986-01-01,471.479
1987-01-01,479.365
1988-01-01,488.110
1989-01-01,495.648
1990-01-01,502.855
1991-01-01,511.604
1992-01-01,518.714
1993-01-01,525.628
1994-01-01,533.246
1995-01-01,540.982
1996-01-01,548.556
1997-01-01,555.383
1998-01-01,561.205
1999-01-01,568.731
2000-01-01,576.529
2001-01-01,582.198
2002-01-01,586.573
2003-01-01,590.002
2004-01-01,592.214
2005-01-01,595.339
2006-01-01,598.900
2007-01-01,602.837
2008-01-01,604.975
2009-01-01,608.125
2010-01-01,602.983
2011-01-01,608.468
2012-01-01,615.823
2013-01-01,624.377
2014-01-01,631.451
2015-01-01,637.304
2016-01-01,643.927
2017-01-01,649.231
2018-01-01,653.786
