DATE,MILIVI3POP
1970-01-01,58.967
1971-01-01,61.400
1972-01-01,63.900
1973-01-01,69.600
1974-01-01,74.000
1975-01-01,76.500
1976-01-01,79.800
1977-01-01,84.700
1978-01-01,90.800
1979-01-01,96.700
1980-01-01,100.289
1981-01-01,101.930
1982-01-01,100.697
1983-01-01,99.732
1984-01-01,100.243
1985-01-01,101.723
1986-01-01,103.866
1987-01-01,107.353
1988-01-01,110.210
1989-01-01,112.557
1990-01-01,116.655
1991-01-01,119.527
1992-01-01,122.604
1993-01-01,125.704
1994-01-01,129.655
1995-01-01,134.170
1996-01-01,138.830
1997-01-01,143.075
1998-01-01,147.808
1999-01-01,153.033
2000-01-01,158.400
2001-01-01,163.275
2002-01-01,168.027
2003-01-01,171.622
2004-01-01,175.600
2005-01-01,179.238
2006-01-01,182.198
2007-01-01,182.709
2008-01-01,182.121
2009-01-01,182.213
2010-01-01,181.064
2011-01-01,182.021
2012-01-01,182.776
2013-01-01,184.196
2014-01-01,185.532
2015-01-01,187.186
2016-01-01,188.582
2017-01-01,189.886
2018-01-01,191.224
