DATE,MIMACO9POP
1970-01-01,626.204
1971-01-01,634.200
1972-01-01,634.900
1973-01-01,648.400
1974-01-01,655.600
1975-01-01,657.400
1976-01-01,661.700
1977-01-01,672.200
1978-01-01,681.000
1979-01-01,689.700
1980-01-01,694.600
1981-01-01,687.118
1982-01-01,684.852
1983-01-01,682.777
1984-01-01,687.270
1985-01-01,693.630
1986-01-01,702.036
1987-01-01,708.068
1988-01-01,710.115
1989-01-01,713.808
1990-01-01,718.280
1991-01-01,728.183
1992-01-01,737.278
1993-01-01,745.112
1994-01-01,751.181
1995-01-01,761.378
1996-01-01,773.074
1997-01-01,776.506
1998-01-01,779.567
1999-01-01,783.828
2000-01-01,790.701
2001-01-01,799.882
2002-01-01,807.105
2003-01-01,813.876
2004-01-01,820.331
2005-01-01,824.621
2006-01-01,827.971
2007-01-01,829.234
2008-01-01,830.175
2009-01-01,830.488
2010-01-01,841.355
2011-01-01,844.075
2012-01-01,849.727
2013-01-01,857.158
2014-01-01,862.959
2015-01-01,865.086
2016-01-01,868.739
2017-01-01,871.976
2018-01-01,874.759
