DATE,MIMUSK1POP
1970-01-01,157.426
1971-01-01,158.300
1972-01-01,158.100
1973-01-01,157.100
1974-01-01,156.300
1975-01-01,156.300
1976-01-01,157.400
1977-01-01,157.500
1978-01-01,157.300
1979-01-01,158.100
1980-01-01,157.589
1981-01-01,158.550
1982-01-01,156.114
1983-01-01,154.496
1984-01-01,154.844
1985-01-01,155.654
1986-01-01,155.812
1987-01-01,156.345
1988-01-01,157.643
1989-01-01,158.365
1990-01-01,159.384
1991-01-01,160.885
1992-01-01,162.135
1993-01-01,163.082
1994-01-01,163.678
1995-01-01,164.457
1996-01-01,165.763
1997-01-01,167.077
1998-01-01,168.147
1999-01-01,169.331
2000-01-01,170.484
2001-01-01,171.246
2002-01-01,171.843
2003-01-01,172.607
2004-01-01,173.123
2005-01-01,173.981
2006-01-01,174.126
2007-01-01,174.331
2008-01-01,174.593
2009-01-01,173.648
2010-01-01,171.911
2011-01-01,170.004
2012-01-01,170.144
2013-01-01,172.268
2014-01-01,172.266
2015-01-01,172.462
2016-01-01,173.242
2017-01-01,173.656
2018-01-01,173.588
