DATE,MIOAKL5POP
1970-01-01,907.871
1971-01-01,915.900
1972-01-01,919.900
1973-01-01,938.100
1974-01-01,950.800
1975-01-01,957.300
1976-01-01,962.600
1977-01-01,978.900
1978-01-01,997.200
1979-01-01,1009.300
1980-01-01,1011.793
1981-01-01,1000.873
1982-01-01,997.169
1983-01-01,996.805
1984-01-01,1007.281
1985-01-01,1020.273
1986-01-01,1035.874
1987-01-01,1052.222
1988-01-01,1062.597
1989-01-01,1072.321
1990-01-01,1086.685
1991-01-01,1100.954
1992-01-01,1117.187
1993-01-01,1129.455
1994-01-01,1141.823
1995-01-01,1155.687
1996-01-01,1167.082
1997-01-01,1176.377
1998-01-01,1182.206
1999-01-01,1188.498
2000-01-01,1196.585
2001-01-01,1201.172
2002-01-01,1200.012
2003-01-01,1203.062
2004-01-01,1205.023
2005-01-01,1204.396
2006-01-01,1203.527
2007-01-01,1202.182
2008-01-01,1202.778
2009-01-01,1204.943
2010-01-01,1203.12
2011-01-01,1212.56
2012-01-01,1223.616
2013-01-01,1235.554
2014-01-01,1242.993
2015-01-01,1244.711
2016-01-01,1251.126
2017-01-01,1256.182
2018-01-01,1259.201
