DATE,MIOTTA0POP
1970-01-01,128.181
1971-01-01,129.400
1972-01-01,131.200
1973-01-01,136.600
1974-01-01,138.300
1975-01-01,140.500
1976-01-01,142.500
1977-01-01,145.800
1978-01-01,150.000
1979-01-01,154.400
1980-01-01,157.174
1981-01-01,161.422
1982-01-01,161.627
1983-01-01,162.360
1984-01-01,165.064
1985-01-01,167.965
1986-01-01,170.792
1987-01-01,174.492
1988-01-01,179.431
1989-01-01,183.782
1990-01-01,189.176
1991-01-01,193.835
1992-01-01,197.964
1993-01-01,202.165
1994-01-01,206.800
1995-01-01,212.370
1996-01-01,218.169
1997-01-01,223.915
1998-01-01,229.401
1999-01-01,234.916
2000-01-01,239.584
2001-01-01,243.503
2002-01-01,246.279
2003-01-01,249.234
2004-01-01,252.154
2005-01-01,254.044
2006-01-01,256.455
2007-01-01,258.382
2008-01-01,260.162
2009-01-01,260.965
2010-01-01,264.123
2011-01-01,266.901
2012-01-01,270.861
2013-01-01,274.391
2014-01-01,277.89
2015-01-01,280.958
2016-01-01,283.907
2017-01-01,286.922
2018-01-01,290.494
