DATE,MISTCL5POP
1970-01-01,119.280
1971-01-01,125.100
1972-01-01,127.200
1973-01-01,128.500
1974-01-01,130.600
1975-01-01,131.800
1976-01-01,132.900
1977-01-01,134.900
1978-01-01,137.300
1979-01-01,139.000
1980-01-01,138.802
1981-01-01,140.020
1982-01-01,138.598
1983-01-01,137.362
1984-01-01,137.732
1985-01-01,138.207
1986-01-01,139.580
1987-01-01,141.245
1988-01-01,142.412
1989-01-01,143.476
1990-01-01,146.333
1991-01-01,148.638
1992-01-01,150.116
1993-01-01,151.541
1994-01-01,153.027
1995-01-01,154.853
1996-01-01,156.509
1997-01-01,158.559
1998-01-01,160.726
1999-01-01,163.096
2000-01-01,164.732
2001-01-01,165.815
2002-01-01,166.726
2003-01-01,168.441
2004-01-01,169.563
2005-01-01,169.527
2006-01-01,170.236
2007-01-01,169.863
2008-01-01,168.645
2009-01-01,166.988
2010-01-01,162.693
2011-01-01,161.569
2012-01-01,160.623
2013-01-01,160.293
2014-01-01,160.085
2015-01-01,159.749
2016-01-01,159.444
2017-01-01,159.213
2018-01-01,159.337
